address,type,price,details,url
"3215 N Troy St #3, Chicago, IL 60618",SingleFamilyResidence,"$3,300/mo","3 bds2 ba1,675 sqft- Apartment for rent",https://www.zillow.com/homedetails/3215-N-Troy-St-3-Chicago-IL-60618/2076924595_zpid/
"3311 W Palmer St #3, Chicago, IL 60647",SingleFamilyResidence,"$1,450/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3311-W-Palmer-St-3-Chicago-IL-60647/2077881247_zpid/
"Ascend St Charles | 100 Lakeside Dr, Saint Charles, IL", 1 bd,"$1,325+ 1 bd", 1 bd,https://www.zillow.com/homedetails/Ascend-St-Charles---100-Lakeside-Dr-Saint-Charles-IL
"One Arlington | 3400 W Stonegate Blvd, Arlington Heights, IL", Studio,"$1,379+ Studio", Studio,https://www.zillow.com/homedetails/One-Arlington---3400-W-Stonegate-Blvd-Arlington-Heights-IL
"3800 W Diversey Ave #vyx0y26mj, Chicago, IL 60647",SingleFamilyResidence,"$2,195+/mo","4 bds2 ba1,800 sqft- Apartment for rent",https://www.zillow.com/homedetails/3800-W-Diversey-Ave-VYX0Y26MJ-Chicago-IL-60647/2072484780_zpid/
"5534 W Berteau Ave Unit G, Chicago, IL 60641",SingleFamilyResidence,"$1,150/mo",1 bd1 ba973 sqft- Apartment for rent,https://www.zillow.com/homedetails/5534-W-Berteau-Ave-UNIT-G-Chicago-IL-60641/2077693772_zpid/
"2338 N Avers Ave, Chicago, IL", 1 bd,"$1,075 1 bd", 1 bd,https://www.zillow.com/homedetails/2338-N-Avers-Ave-Chicago-IL
"4342 W Augusta Blvd, Chicago, IL", 2 bds,"$1,350 2 bds", 2 bds,https://www.zillow.com/homedetails/4342-W-Augusta-Blvd-Chicago-IL
"1114 Durham Dr, Wheaton, IL 60189",SingleFamilyResidence,"$2,400/mo","4 bds2.5 ba2,029 sqft- House for rent",https://www.zillow.com/homedetails/1114-Durham-Dr-Wheaton-IL-60189/4459537_zpid/
"ReNew Downers Grove | 2845 Easton St, Downers Grove, IL", Studio,"$1,485+ Studio", Studio,https://www.zillow.com/homedetails/ReNew-Downers-Grove---2845-Easton-St-Downers-Grove-IL
"111 S Parkside Ave #g, Chicago, IL 60644",SingleFamilyResidence,"$1,100/mo","2 bds2 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/111-S-Parkside-Ave-G-Chicago-IL-60644/2072493840_zpid/
"2021 N Spaulding Ave Unit 2f, Chicago, IL 60647",SingleFamilyResidence,"$1,350/mo","2 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/2021-N-Spaulding-Ave-UNIT-2F-Chicago-IL-60647/2080181752_zpid/
"211 N Windsor Dr, Arlington Heights, IL 60004",SingleFamilyResidence,"$2,400/mo","3 bds2 ba1,129 sqft- House for rent",https://www.zillow.com/homedetails/211-N-Windsor-Dr-Arlington-Heights-IL-60004/3315879_zpid/
"2717 N Drake Ave #1, Chicago, IL 60647",SingleFamilyResidence,"$2,000/mo",2 bds1 ba950 sqft- Apartment for rent,https://www.zillow.com/homedetails/2717-N-Drake-Ave-1-Chicago-IL-60647/2078992539_zpid/
"10 N Main St | 10 N Main St, Mount Prospect, IL", Studio,"$1,299+ Studio", Studio,https://www.zillow.com/homedetails/10-N-Main-St---10-N-Main-St-Mount-Prospect-IL
"2501 N Kimball Ave W #2-3320, Chicago, IL 60647",SingleFamilyResidence,"$1,790/mo","2 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/2501-N-Kimball-Ave-W-2-3320-Chicago-IL-60647/2072502282_zpid/
"2633 1/2 N Spaulding Ave Apt 3n, Chicago, IL 60647",SingleFamilyResidence,$920/mo,BDS1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2633-1-2-N-Spaulding-Ave-APT-3N-Chicago-IL-60647/2108330155_zpid/
